resort,name,location,type,price,visited,ratingHeather,ratingMatt
wdw,Rainforest Cafe®,Disney Springs or Disney's Animal Kingdom Theme Park,Table Service,$$,True,5.0,5.0
wdw,Ravello,Four Season Resort Orlando,Table Service,$$$,False,,
wdw,Regal Eagle Smokehouse: Craft Drafts & Barbecue,EPCOT,Quick Service,$,True,4.0,4.0
wdw,Restaruantosaurus,Disney's Animal Kingdom Theme Park,Quick Service,$,True,5.0,
wdw,Riverside Mill Food Court,Disney's Port Orleans Resort - Riverside,Quick Service,$,False,,
wdw,Rix Sports Bar & Grill,Disney's Coronado Springs Resort,Table Service,$,False,,
wdw,Roaring Fork,Disney's Wilderness Lodge,Quick Service,$,False,,
wdw,Ronto Roasters,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,Rosa Mexicano,Walt Disney World Dolphin Hotel,Table Service,$$$,False,,
wdw,Rose & Crown Dining Room,EPCOT,Table Service,$$,True,5.0,5.0
wdw,Rosie's All-American Café,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,Roundup Rodeo BBQ,Disney's Hollywood Studios,Quick Service,$,True,3.0,3.0
wdw,San Angel Inn Restaurante,EPCOT,Table Service,$$,False,,
wdw,Sanaa,Disney's Animal Kingdom Villas - Kidani Village,Table Service,$$,False,,
wdw,Satu'li Canteen,Disney's Animal Kingdom Theme Park,Quick Service,$,True,4.0,5.0
wdw,Sci-Fi Dine-Inn Theater Restaruant,Disney's Hollywood Studios,Table Service,$$,True,2.0,3.0
wdw,Sebastian's Bistro,Disney's Caribbean Beach Resort,Table Service,$$,False,,
wdw,Shiki-Sai: Sushi Izakaya,EPCOT,Table Service,$$,False,,
wdw,Shula's Steak House,Walt Disney World Dolphin Hotel,Table Service,$$$,False,,
wdw,Sleepy Hollow,Magic Kingdom Park,Quick Service,$,True,2.0,3.0
wdw,Space 220,EPCOT,Table Service,$,False,,
wdw,Spice Road Table,EPCOT,Table Service,$,False,,
wdw,Splitsville Dining Room,Disney Springs,Table Service,$,False,,
wdw,Spyglass Grill,Disney's Caribbean Beach Resort,Quick Service,$,False,,
wdw,Steakhouse 71,Disney's Contemporary Resort,Table Service,$$,False,,
wdw,STK® Steakhouse,Disney Springs,Table Service,$$$,False,,
wdw,Story Book Dining at Artist Point with Snow White,Disney's Wilderness Lodge,Character Dining,$$$$,False,,
wdw,Summer House on the Lake,Disney Springs,Table Service,$$,False,,
wdw,Sunshine Seasons,EPCOT,Quick Service,$,False,,
wdw,T-Rex ™,Disney Springs,Table Service,$$,True,4.0,5.0
wdw,Takumi-Tei,EPCOT,Table Service,$$$$,False,,
wdw,Tangerine,Walt Disney World Swan Reserve,Table Service,$,False,,
wdw,Teppan Edo,EPCOT,Table Service,$$,True,1.0,2.0
wdw,Terralina Crafted Italian,Disney Springs,Table Service,$$,False,,
wdw,The Artist's Palette,Disney's Saratoga Springs Resort & Spa,Quick Service,$,False,,
wdw,"The BOATHOUSE®: Great Food, Waterfront Dining, Dream Boats™",Disney Springs,Table Service,$$$,True,5.0,4.0
wdw,The Chuck Wagon,The Campsites at Disney's Fort Wilderness Resort,Quick Service,$,False,,
wdw,The Crystal Palace,Magic Kingdom Park,Table Service,$$$$,False,,
wdw,The Daily Poutine,Disney Springs,Quick Service,$,False,,
wdw,The Diamond Horseshoe,Magic Kingdom Park,Table Service,$$$,False,,
wdw,The Dining Room at Victoria & Albert's,Disney's Grand Floridian Resort & Spa,Table Service,$$$$,False,,
wdw,The Edison,Disney Springs,Table Service,$$,True,3.0,3.0
wdw,The Fountain,Walt Disney World Dolphin Hotel,Table Service,$,False,,
wdw,The Friar's Nook,Magic Kingdom Park,Quick Service,$,True,5.0,3.0
wdw,The Hollywood Brown Derby,Disney's Hollywood Studios,Table Service,$$$,False,,
wdw,The Lunching Pad,Magic Kingdom Park,Quick Service,$,True,1.0,2.0
wdw,The Mara,Disney's Animal Kingdom Lodge,Quick Service,$,False,,
wdw,The Plaza Restaurant,Magic Kingdom Park,Table Service,$$,False,,
wdw,The Polite Pig,Disney Springs,Quick Service,$,True,3.0,4.0
wdw,The Turf Club Bar and Grill,Disney's Saratoga Springs Resort & Spa,Table Service,$$,False,,
wdw,Three Bridges Bar and Grill at Villa del Lago,Disney's Coronado Springs Resort,Table Service,$$,False,,
wdw,Tiffins Restaurant,Disney's Animal Kingdom Theme Park,Table Service,$$$,False,,
wdw,Todd English's bluezoo,Walt Disney World Dolphin Hotel,Table Service,$$$,False,,
wdw,"Toledo - Tapas, Steak & Seafood",Disney's Coronado Springs Resort,Table Service,$$$,False,,
wdw,Tony's Town Square Restaurant,Magic Kingdom Park,Table Service,$$,False,,
wdw,Topolino's Terrace - Flavors of the Riviera,Disney's Riviera Resort,Table Service,$$$,False,,
wdw,Tortuga Tavern,Magic Kingdom Park,Quick Service,$,True,2.0,3.0
wdw,Trail's End Restaurant,The Campsites at Disney's Fort Wilderness Resort,Quick Service,$$,False,,
wdw,Trattoria al Forno,Disney's BoardWalk,Table Service,$$,False,,
wdw,Tusker House Restaurant,Disney's Animal Kingdom Theme Park,Table Service,$$$$,False,,
wdw,Tutto Italia Ristorante,EPCOT,Table Service,$$,False,,
wdw,Typhoon Tilly's,Disney's Typhoon Lagoon Water Park,Quick Service,$,False,,
wdw,Via Napoli Ristorante e Pizzeria,EPCOT,Table Service,$$,True,4.0,5.0
wdw,Whispering Canyon cafe,Disney's Wilderness Lodge,Table Service,$$,False,,
wdw,Wine Bar George - A Resturant & Bar,Disney Springs,Table Service,$$,False,,
wdw,Wolfgang Puck Bar & Grill,Disney Springs,Table Service,$$,False,,
wdw,Woody's Lunch Box,Disney's Hollywood Studios,Quick Service,$,False,,
wdw,World Premiere Food Court,Disney's All-Star Movies Resort,Quick Service,$,False,,
wdw,Yachtsman Steakhouse,Disney's Yacht Club Resort,Table Service,$$$,False,,
wdw,Yak & Yeti™ Restaurant,Disney's Animal Kingdom Theme Park,Table Service,$$,True,5.0,5.0
wdw,YeSake Kiosk,Disney Springs,Quick Service,$,False,,
wdw,Yorkshire County Fish Shop,EPCOT,Quick Service,$,True,5.0,2.0
